Word,Frequency
project,6191
Phase,5941
high,4512
technology,3794
system,3482
energy,3236
cost,2997
data,2972
broader,2614
proposed,2562
based,2364
new,2333
develop,2320
commercial,2306
use,2245
power,2225
development,2184
SBIR,2159
design,2148
performance,2123
II,2084
potential,2058
support,1978
Small,1971
Business,1946
low,1940
applications,1893
process,1882
impact,1877
materials,1876
systems,1858
Research,1841
time,1725
Innovation,1648
production,1606
provide,1601
developed,1539
impacts,1508
scale,1494
evaluation,1430
novel,1393
research,1383
mission,1335
water,1324
intellectual,1324
enable,1318
merit,1315
award,1292
criteria,1291
manufacturing,1284
